 ,Area,Mean,Min,Max
1,112757,71.940,42,194
2,54491,81.621,44,188
3,67309,85.490,45,185
4,114106,85.843,43,232
5,64429,87.281,50,216
6,53846,85.319,43,182
7,102247,82.725,41,194
8,48055,76.829,45,209
9,67174,75.407,45,183
10,63220,83.234,44,195
11,73022,76.890,41,180
12,60441,80.415,49,214
13,42980,77.564,45,154
14,45976,73.606,46,194
15,65489,75.102,45,192
16,48406,68.552,38,176
17,53962,75.452,48,193
18,61306,78.032,49,179
19,62826,62.511,42,163
20,49675,73.077,45,134
21,79523,73.269,43,164
22,72099,76.541,46,170
23,61877,75.629,46,148
24,106280,81.676,43,222
25,65059,80.961,52,157
26,91534,77.144,45,162
27,55014,73.681,48,135
28,93765,77.136,48,178
29,61164,66.895,43,191
30,64926,85.345,48,202
31,62205,82.564,50,200
32,53980,79.358,48,189
33,58317,82.548,47,169
34,94571,80.590,41,207
35,49143,57.762,38,120
36,51148,80.310,44,202
37,60588,91.526,49,226
