 ,Area,Mean,Min,Max
1,73758,80.378,47,199
2,75180,81.946,44,164
3,84753,72.676,34,227
4,67421,76.934,46,181
5,58373,73.504,47,173
6,63211,68.909,43,166
7,64099,74.915,46,179
8,65323,70.015,43,186
9,63765,74.425,44,182
10,70290,77.057,47,234
11,61599,71.079,42,184
12,68348,68.630,39,169
13,61833,78.485,44,196
14,63060,70.532,45,166
15,58170,79.659,46,168
16,56774,73.901,46,203
17,58910,66.871,40,151
18,63661,80.725,44,183
19,56162,71.841,41,194
20,56435,71.362,43,155
21,54068,73.415,38,167
22,59491,71.487,43,190
23,57701,74.401,41,177
24,59839,71.044,43,147
25,59247,79.919,45,168
26,54303,73.436,35,146
27,62775,84.937,43,199
28,62718,81.416,42,165
29,57298,74.525,51,144
30,79775,91.195,48,220
31,56324,72.396,44,182
32,48163,75.339,45,197
33,63411,70.946,43,184
34,60771,84.953,49,223
35,63692,77.216,45,211
36,55845,90.323,53,173
37,54764,73.379,45,154
38,55578,82.466,49,167
