 ,Area,Mean,Min,Max
1,110292,79.380,48,225
2,102922,78.215,45,217
3,61850,85.969,54,164
4,81544,86.128,52,233
5,101213,69.572,43,235
6,72788,91.394,59,187
7,68060,88.971,58,201
8,40310,67.267,46,152
9,79470,81.032,45,230
10,95476,92.729,44,232
11,90204,82.574,43,212
12,75849,71.367,39,236
13,57800,83.272,49,210
14,66350,75.346,46,184
15,87165,81.236,44,224
16,55428,83.588,53,229
17,61202,83.714,50,223
18,57710,71.110,45,195
19,58229,81.269,53,184
20,50366,80.400,48,209
21,36554,68.986,46,149
22,54585,90.097,57,224
23,38332,83.781,56,201
24,58855,79.389,49,225
25,47594,80.304,48,191
26,66511,76.760,46,219
27,52018,84.016,52,220
28,73012,78.690,46,173
29,51306,69.684,45,170
30,69599,92.004,48,217
31,56895,71.779,46,181
