 ,Area,Mean,Min,Max
1,69214,76.881,40,180
2,65325,80.106,45,178
3,74445,71.965,37,165
4,55866,70.503,40,151
5,66517,65.752,34,161
6,66468,70.879,39,155
7,63181,59.316,33,147
8,76989,66.979,32,156
9,70140,69.848,40,200
10,62022,67.810,40,165
11,80140,76.017,43,187
12,61991,71.623,39,187
13,62684,66.799,39,145
14,61563,62.890,40,131
15,73480,74.111,39,167
16,60457,66.060,40,152
17,58756,70.529,40,167
18,46502,65.665,40,113
19,57426,63.790,39,141
20,52783,64.661,39,164
21,58764,63.973,39,167
22,62436,58.854,33,112
23,45726,60.117,40,142
24,62602,56.600,30,112
25,58921,78.042,43,180
26,62388,64.948,39,163
27,68322,72.323,41,163
28,52404,67.073,41,151
29,66876,62.752,34,154
30,50474,59.106,34,114
31,64883,57.985,34,126
32,56689,55.545,33,137
33,55208,55.869,34,137
