Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,103877.40575916195,False,348.949,247.90542013495804,27.9898,-3.6100143575531796,84.2317,86.67294429874141,6.70588,0.364045330179098,32355000.0,16734219.71810298,5410540.0,-2.887101894061779,757.656,500.9415649092085,41.7818,-6.1441688747443015,2283.5,1637.5276842047076,160.53,-4.023997482061249
2.0,102115.52055535962,False,337.354,253.2063326661771,20.2127,-4.163108705607013,50.3856,76.72110366121989,5.42446,4.854953979054116,17972800.0,15453036.865546422,2192760.0,-1.1491285569116447,725.037,511.50486824535847,42.0172,-5.082017168079775,2181.53,1673.5323619900457,134.23,-3.784531312001449
3.0,102425.0603957993,False,294.088,257.54877177763245,17.6983,-2.0645614676193516,48.6361,69.9971832685815,4.00201,5.337588678834259,13210600.0,14586443.126549222,1537590.0,0.894804939255082,632.43,520.143774251774,41.2245,-2.72377410880001,1891.91,1698.991513806495,114.765,-1.680987114481811
6.0,110105.27017973347,False,270.157,265.8271177314139,20.097,-0.21544918488262232,62.9367,59.104198121738115,6.28476,-0.609808787966746,14490500.0,13120994.910960687,2566860.0,-0.5335332230972132,576.285,535.3426137254555,42.3959,-0.9657157006820105,1741.42,1760.4553434082823,127.741,0.14901514320603557
7.0,114139.75609932108,False,287.502,268.0492256980004,35.9217,-0.5415326752909696,61.8894,56.98827126707914,5.48038,-0.8943045432836518,16195400.0,12863657.540556867,3761560.0,-0.8857342324575797,629.297,540.5387743882159,85.4188,-1.0390947380645028,1855.44,1785.9144952247316,236.039,-0.29455092071762917
10.0,129285.95149709108,False,313.755,275.31114588728406,34.3615,-1.1188060507462114,65.2229,52.69224663938605,5.06809,-2.472460702279152,20515000.0,12547123.615680942,5227750.0,-1.5241502337179584,708.412,555.6900954259019,79.1774,-1.9288572821802454,2052.26,1821.9191730100697,225.984,-1.0192793604411396
13.0,148127.62194075604,False,255.64,283.1160601743453,35.4148,0.7758355313130477,75.23,50.13124215159428,7.34333,-3.417898671094139,15679400.0,12623719.923871776,4354580.0,-0.7017163712983167,578.91,571.2197731672103,92.3877,-0.08323864359421954,1670.52,1872.837476642968,234.895,0.8613102732836719
17.0,177845.60729942468,False,301.54,294.28243906352816,31.379,-0.23128719642027665,79.3306,47.8831691344636,10.5907,-2.9693439400168455,22827200.0,13027511.12851079,5265890.0,-1.8609748535364792,694.872,593.6849575826596,85.8214,-1.1790420852764032,1973.34,1944.8468322136446,204.482,-0.13934315874431658
21.0,212027.19469195127,False,293.782,302.3654194013526,34.4732,0.2489881821633215,78.408,46.19196858306616,10.0472,-3.206468609854869,21536800.0,13267239.996929165,5567870.0,-1.4852286427432457,662.28,609.9745267624854,76.9809,-0.6794604017037283,1904.56,1995.7651358465425,218.722,0.4169911387356671
